#,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious, Critical",Tot Cases/1M Pop,Deaths/1M Pop,Total Tests,Tests/1M Pop,Population
,,,,,,,,,,,,,
84,Iceland,1802,,10,,1786,6,,5285,29,56882,166818,340982
85,Estonia,1784,,64,,938,782,4,1345,48,70188,52915,1326433
86,Tajikistan,1729,,41,,,1688,,182,4,,,9510530
87,Lithuania,1547,,59,,997,491,17,567,22,231104,84767,2726360
88,DRC,1538,,61,,272,1205,,17,0.7,,,89204344
89,Djibouti,1518,,7,,1018,493,,1539,7,18345,18601,986245
90,New Zealand,1503,4,21,,1442,40,2,312,4,233843,48539,4817585
91,Slovakia,1495,,28,,1185,282,3,274,5,143433,26273,5459339
92,Slovenia,1466,,104,,1335,27,5,705,50,69842,33596,2078905
93,Somalia,1455,,57,,163,1235,2,92,4,,,15835721
94,Gabon,1432,,11,,301,112,9,645,5,7966,359,2219053
95,El Salvador,1413,,30,,474,909,21,218,5,57883,8929,6482375
96,Mayotte,137,,18,,627,725,9,5037,66,52,19119,271976
97,Kyrgyzstan,1216,,14,,827,375,5,187,2,5949,9137,6510930
98,Maldives,1106,,4,,58,1044,9,2051,7,11775,21831,539365
99,Hong Kong,1056,,4,,1025,27,1,141,0.5,168291,22469,7489763
100,Tunisia,1043,,46,1,819,178,3,88,4,4162,3526,11803787
101,Guinea-Bissau,1032,,4,,38,990,,526,2,15,764,1962083
102,Latvia,1009,,19,,662,328,3,534,10,89123,47193,1888464
103,Sri Lanka,992,,9,,559,424,1,46,0.4,44391,2074,21402783
104,Albania,948,,31,,727,190,1,329,11,12192,4236,2878155
105,Lebanon,931,,26,,251,654,4,136,4,62424,9141,6828869
106,Cyprus,917,,17,,515,385,10,760,14,87549,72575,1206320
107,Kenya,912,,50,,336,526,1,17,0.9,44851,836,53621669
108,Niger,909,,55,,714,140,,38,2,5888,244,24088734
109,Mali,874,,52,,512,310,,43,3,3483,173,20174887
110,Costa Rica,866,,10,,575,281,3,170,2,20352,4,5088572
111,Burkina Faso,796,,51,,652,93,,38,2,,,20829100
112,Paraguay,788,,11,,219,558,,111,2,20124,2826,7121943
113,Andorra,761,,51,,624,86,3,9851,660,375,48543,77251
114,Zambia,761,,7,,192,562,1,42,0.4,17875,976,18317156
115,Uruguay,737,,20,,569,148,4,212,6,34384,9902,3472331
116,Equatorial Guinea,719,,7,,22,690,,515,5,854,611,1396874
117,Diamond Princess,712,,13,,651,48,4,,,,,
118,Georgia,701,,12,,432,257,6,176,3,39573,9918,3990035
119,San Marino,654,,41,,203,410,1,19279,1209,3499,103145,33923
120,Jordan,629,,9,,413,207,5,62,0.9,144356,14165,10191015
121,Venezuela,618,,10,,253,355,1,22,0.4,581082,20428,28445034
122,Malta,558,,6,,456,96,1,1264,14,51677,117073,441407
123,Channel Islands,555,,43,,475,37,,3196,248,5342,30759,173672
124,Haiti,533,,21,,21,491,,47,2,212,186,11385726
125,Jamaica,520,,9,,131,380,,176,3,8674,2931,2959659
126,Chad,519,,53,,117,349,,32,3,,,16364523
127,Sierra Leone,519,,33,,148,338,,65,4,,,7956645
128,Tanzania,509,,21,,183,305,7,9,0.4,,,59512999
129,Réunion,446,,,,354,92,4,499,,172,19227,894557
130,Taiwan,440,,7,,398,35,,18,0.3,69395,2914,23811805
131,Congo,412,,15,,110,287,,75,3,,,5500730
132,Palestine,388,,2,,337,49,,76,0.4,44876,8823,5086351
133,Nepal,375,,2,,36,337,1,13,0.07,100283,3449,29071791
134,Ethiopia,352,,5,,116,231,,3,0.04,59029,515,114599417
135,Benin,339,,2,,83,254,,28,0.2,25471,2108,12082333
136,Isle of Man,335,,24,,296,15,9,3942,282,4167,49035,8498
137,Mauritius,332,,10,,322,0,,261,8,89814,70635,1271525
138,Togo,330,,12,,106,212,,40,1,13452,163,8254058
139,Cabo Verde,328,,3,,85,240,,591,5,892,1606,555261
140,CAR,327,,,,13,314,,68,,3498,726,4819377
141,Montenegro,324,,9,,311,4,2,516,14,10167,16188,628057
142,Vietnam,324,,,,263,61,2,3,,275,2828,97234232
143,Madagascar,322,,1,,119,202,1,12,0.04,567,205,27599599
144,Rwanda,297,,,,203,94,,23,,51118,3959,12911155
145,South Sudan,290,,4,,4,282,,26,0.4,3356,300,11177895
146,Uganda,248,,,,63,185,,5,,73485,1613,45550580
147,Sao Tome and Principe,246,,7,,4,235,,1125,32,175,800,218653
148,Liberia,229,,22,,123,84,,45,4,,,5042565
149,French Guiana,210,,1,,131,78,,705,3,,,297687
150,Eswatini,205,,2,,78,125,,177,2,416,359,1158724
151,Martinique,192,,14,,91,87,,512,37,,,375298
152,Myanmar,191,3,6,,101,84,,4,0.1,14561,268,54366792
153,Faeroe Islands,187,,,,187,0,,3829,,8863,181466,48841
154,Guadeloupe,155,,13,,109,33,3,387,32,2866,7163,400116
155,Gibraltar,147,,,,145,2,,4363,,5187,153953,33692
156,Mozambique,145,,,,44,101,,5,,6272,201,31141818
157,Brunei,141,,1,,136,4,2,323,2,17414,39851,436979
158,Mongolia,140,,,,24,116,2,43,,11,3362,3271795
159,Yemen,130,,20,,1,109,,4,0.7,120,4,29742981
160,Bermuda,125,,9,,77,39,2,2006,144,5549,89063,62304
161,Guyana,124,,10,,44,70,3,158,13,1164,1481,786108
162,Cambodia,122,,,,122,0,,7,,15447,925,16690788
163,Trinidad and Tobago,116,,8,,107,1,,83,6,272,1944,1398962
164,Aruba,101,,3,,93,5,4,946,28,2021,18939,106713
165,Monaco,97,,4,,87,6,1,2474,102,,,39209
166,Bahamas,96,,11,,43,42,1,244,28,1826,4649,392795
167,Cayman Islands,94,,1,,55,38,,1432,15,59,89899,65629
168,Barbados,88,,7,,68,13,4,306,24,4004,13935,287335
169,Liechtenstein,82,,1,,55,26,,2151,26,900,23613,38115
170,Mauritania,81,,4,,7,70,,17,0.9,2583,557,4633922
171,Sint Maarten,77,,15,,54,8,7,1798,350,414,9669,42817
172,Malawi,70,,3,,27,40,1,4,0.2,1803,95,19066433
173,Libya,65,,3,,35,27,,9,0.4,3633,530,6859926
174,French Polynesia,60,,,,60,0,,214,,3496,12454,280717
175,Syria,58,,3,,36,19,,3,0.2,,,17446406
176,Angola,50,,3,,17,30,,2,0.09,6136,187,32731783
177,Zimbabwe,46,,4,,18,24,,3,0.3,28019,1889,14836491
