#,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious, Critical",TotCases/1M Pop,Deaths/1M Pop,Total Tests,Tests/1M Pop,Population
80,Ivory Coast,3024,73,33,,1501,1490,,115,1,28120,1068,26321594
81,Greece,2937,19,179,,1374,1384,11,282,17,185590,17800,10426670
82,Gabon,2803,148,20,3,779,2004,15,1262,9,14122,6358,2221211
83,El Salvador,2653,71,46,,1116,1491,53,409,7,94272,14540,6483714
84,Bulgaria,2538,19,144,4,1123,1271,17,365,21,82914,11926,6952090
85,Bosnia and Herzegovina,2535,11,157,3,1910,468,4,772,48,66722,20328,3282255
86,North Macedonia,2391,76,141,1,1595,655,21,1148,68,31187,14969,2083380
87,Croatia,2246,,103,,2088,55,4,547,25,67297,16386,4107049
88,Haiti,2226,102,45,1,24,2157,,195,4,5270,463,11391422
89,Nepal,2099,288,8,,266,1825,,72,0,191688,6589,29093297
90,Kenya,2093,72,71,2,499,1523,7,39,1,80054,1492,53670324
91,Cuba,2092,9,83,,1827,182,4,185,7,108389,9569,11327122
92,Somalia,2089,66,79,,361,1649,2,132,5,,,15853963
93,Mayotte,1986,52,24,,1473,489,9,7295,88,7600,27916,272246
94,Estonia,1870,,68,,1632,170,,1410,51,85175,64212,1326469
95,Kyrgyzstan,1845,28,17,1,1219,609,4,283,3,114353,17551,6515345
96,Maldives,1841,12,7,1,608,1226,9,3411,13,11775,21815,539755
97,Venezuela,1819,157,18,1,334,1467,,64,1,987902,34734,28441746
98,Iceland,1806,,10,,1794,2,,5295,29,61156,179305,341073
99,Sri Lanka,1683,40,11,,823,849,1,79,1,66421,3103,21406454
100,Lithuania,1682,4,71,1,1249,362,17,617,26,309725,113668,2724816
101,Slovakia,1522,,28,,1372,122,,279,5,179293,32841,5459447
102,New Zealand,1504,,22,,1481,1,,301,4,282263,56429,5002100
103,Slovenia,1475,2,109,,1358,8,1,710,52,81066,38994,2078917
104,Mali,1351,36,78,,769,504,,67,4,3483,172,20198890
105,Ethiopia,1344,87,14,2,231,1099,8,12,0,116309,1014,114716477
106,Guinea-Bissau,1339,,8,,53,1278,,682,4,1500,764,1963994
107,Equatorial Guinea,1306,,12,,200,1094,,934,9,8268,5911,1398773
108,Lebanon,1242,9,27,,719,496,5,182,4,86244,12632,6827622
109,Albania,1164,21,33,,891,240,3,404,11,15068,5236,2878026
110,Nicaragua,1118,359,46,11,370,702,,169,7,,,6618269
111,Costa Rica,1105,21,10,,682,413,5,217,2,27318,5366,5090477
112,Hong Kong,1094,6,4,,1038,52,2,146,1,202930,27085,7492253
113,Zambia,1089,,7,,912,170,1,59,0,28236,1540,18338338
114,Tunisia,1086,2,48,,965,73,1,92,4,52874,4477,11808852
115,Latvia,1071,5,24,,760,287,3,567,13,111404,59018,1887615
116,CAR,1069,,4,,23,1042,,222,1,15021,3115,4822822
117,Paraguay,1013,18,11,,498,504,2,142,2,32106,4506,7125533
118,South Sudan,994,,10,,6,978,,89,1,3356,300,11183272
119,Niger,960,2,65,,848,47,,40,3,6068,252,24124865
120,Cyprus,952,3,17,,790,145,4,789,14,117411,97301,1206680
121,Sierra Leone,896,31,46,,480,370,,113,6,,,7963305
122,Burkina Faso,881,34,53,,720,108,,42,3,,,20852679
123,Madagascar,845,19,6,,185,654,9,31,0,11954,433,27628869
124,Andorra,844,79,51,,733,60,7,10925,660,3750,48540,77256
125,Uruguay,826,1,23,,691,112,4,238,7,45226,13023,3472823
126,Chad,803,13,66,,562,175,,49,4,,,16383919
127,Georgia,796,2,13,1,634,149,6,200,3,58976,14782,3989722
128,Jordan,755,9,9,,549,197,5,74,1,198879,19507,10195163
129,Diamond Princess,712,,13,,651,48,4,,,,,
130,San Marino,672,1,42,,384,246,1,19808,1238,4573,134793,33926
131,Mauritania,668,80,31,8,55,582,,144,7,7654,1650,4638948
132,Malta,620,1,9,,554,57,1,1404,20,70693,160136,441455
133,Congo,611,,20,,179,412,,111,4,,,5506313
134,Jamaica,588,2,9,,322,257,2,199,3,13191,4456,2960188
135,Channel Islands,560,,46,1,528,-14,,3223,265,10255,59026,173737
136,French Guiana,517,18,1,,207,309,3,1735,3,,,298005
137,Tanzania,509,,21,,183,305,7,9,0,,,59583009
